Symbol,Company Name,Sector,Industry
ABLBL,Aditya Birla Lifestyle Brands Limited,Consumer Cyclical,Apparel Retail
STYLEBAAZA,Baazar Style Retail Limited,Consumer Cyclical,Apparel Retail
MUFTI,Credo Brands Marketing Limited,Consumer Cyclical,Apparel Retail
GOCOLORS,Go Fashion (India) Limited,Consumer Cyclical,Apparel Retail
HEADSUP,Heads UP Ventures Limited,Consumer Cyclical,Apparel Retail
METROBRAND,Metro Brands Limited,Consumer Cyclical,Apparel Retail
KALAMANDIR,Sai Silks (Kalamandir) Limited,Consumer Cyclical,Apparel Retail
SSDL,Saraswati Saree Depot Limited,Consumer Cyclical,Apparel Retail
TRENT,Trent Limited,Consumer Cyclical,Apparel Retail
V2RETAIL,V2 Retail Limited,Consumer Cyclical,Apparel Retail
